"","pos","X120.130","X130.140","X140.150","X150.160","X160.170","X170.180","X180.190","X190.200"
"1",3,0,0,0,0,0.16318,0.244856,0.345304,0.24666
"2",5,0,0,0,0,0.233364,0.321979,0.259548,0.185109
"3",7,0,0,0,0.12602569698142482,0.27095615039167364,0.26097973984820877,0.18361357582075738,0.158424836957935
"4",9,0.0440570693206789,0.091848052662599,0.14988228479453,0.191462461274013,0.191462461274013,0.14988228479453,0.091848052662599,0.0440570693206789
