170,152,172,162,10
170,160,180,170,10
170,168,188,178,10
170,176,196,186,10
170,137,187,162,25
170,145,195,170,25
170,123,203,178,25
170,161,211,186,25
170,122,202,162,40
170,130,210,170,40
170,138,218,178,40
170,146,226,186,40
180,162,182,172,10
180,170,190,180,10
180,178,198,188,10
180,186,206,196,10
180,147,197,172,25
180,155,205,180,25
180,163,213,188,25
180,171,221,196,25
180,132,212,172,40
180,140,220,180,40
180,148,228,188,40
180,156,236,196,40
190,172,192,182,10
190,180,200,190,10
190,188,208,198,10
190,196,216,206,10
190,157,207,182,25
190,165,215,190,25
190,173,223,198,25
190,181,231,206,25
190,142,222,182,40
190,150,230,190,40
190,158,238,198,40
190,166,246,206,40
